timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168589.998,29.297,94.727,-24.414,22.949,29.785,0
1540168590.002,24.414,88.867,-23.926,20.508,4.883,0
1540168590.006,40.039,86.914,-26.855,41.016,-3.418,0
1540168590.010,39.551,62.500,-23.438,52.734,39.062,0
1540168590.014,32.227,83.984,-15.137,38.086,44.434,0
1540168590.018,33.203,126.953,-17.578,21.973,16.602,0
1540168590.022,24.414,126.953,-12.695,14.648,34.180,0
1540168590.026,21.973,94.238,-4.883,14.648,23.438,0
1540168590.030,29.785,77.637,-8.789,23.926,1.953,0
1540168590.034,28.320,91.309,-10.742,23.926,6.348,0
1540168590.038,23.926,91.309,-4.395,13.184,37.109,0
1540168590.041,21.484,76.172,-5.859,20.020,35.156,0
1540168590.045,21.484,61.035,-0.977,31.250,62.988,0
1540168590.049,19.043,55.176,3.418,25.879,54.688,0
1540168590.053,22.949,75.684,-0.977,18.555,31.250,0
1540168590.057,27.344,97.168,-1.465,27.832,19.531,0
1540168590.061,26.367,89.844,0.000,29.785,-15.625,0
1540168590.065,21.973,74.707,-4.883,21.973,-26.367,0
1540168590.069,14.648,53.223,0.000,11.719,-38.086,0
1540168590.073,14.648,38.574,-7.324,16.602,-11.230,0
1540168590.077,14.648,53.711,-10.254,27.832,41.016,0
1540168590.080,14.160,77.148,0.977,12.695,47.852,0
1540168590.084,24.414,78.613,4.395,12.207,2.930,0
1540168590.088,22.461,69.336,5.371,19.531,-16.113,0
1540168590.092,27.832,68.848,3.906,23.438,21.973,0
1540168590.096,25.391,65.430,2.930,24.414,1.953,0
1540168590.100,20.020,59.570,7.324,23.926,23.438,0
1540168590.104,26.855,57.129,7.324,25.391,31.738,0
1540168590.108,26.855,54.199,6.348,32.715,20.996,0
1540168590.112,21.484,45.410,8.789,40.039,19.531,0
1540168590.116,23.438,38.086,7.812,39.551,40.527,0
1540168590.120,23.926,44.922,7.324,39.551,74.219,0
1540168590.123,26.367,57.617,11.230,43.945,31.738,0
1540168590.127,28.809,57.617,11.230,39.551,11.719,0
1540168590.131,20.996,48.828,11.719,35.645,40.527,0
1540168590.135,17.578,47.363,12.695,38.086,27.832,0
1540168590.139,17.090,38.574,12.695,32.715,21.484,0
1540168590.143,20.508,27.832,5.371,30.762,96.680,0
1540168590.147,18.555,39.551,4.883,26.855,101.562,0
1540168590.151,17.090,51.758,8.301,20.020,37.598,0
1540168590.155,23.926,47.852,7.812,22.949,19.531,0
1540168590.159,10.742,46.875,8.301,33.691,29.785,0
1540168590.163,11.230,47.363,8.301,34.180,30.762,0
1540168590.166,21.973,40.527,11.230,26.855,12.207,0
1540168590.170,25.391,37.598,6.836,23.438,76.660,0
1540168590.174,21.484,37.109,4.395,23.438,50.781,0
1540168590.178,21.973,34.668,11.230,19.531,-8.789,0
1540168590.182,27.344,39.062,12.207,16.602,42.969,0
1540168590.186,32.227,38.574,9.766,10.254,46.387,0
1540168590.190,37.109,36.621,7.812,10.742,13.672,0
1540168590.194,42.480,34.180,10.254,10.742,16.602,0
1540168590.198,40.527,27.832,14.648,6.348,45.898,0
1540168590.202,33.203,15.137,16.602,5.371,72.266,0
1540168590.205,34.180,21.973,20.508,7.812,97.168,0
1540168590.209,29.297,31.250,17.090,11.230,41.504,0
1540168590.213,13.672,23.926,12.695,6.348,-18.066,0
1540168590.217,2.441,20.508,13.184,1.953,-31.738,0
1540168590.221,0.000,22.461,13.672,3.418,-45.410,0
1540168590.225,4.883,21.973,19.043,-4.395,-8.301,0
1540168590.229,-10.742,19.531,16.113,-15.137,23.438,0
1540168590.233,-36.621,20.508,10.254,-23.926,-8.301,1
1540168590.237,-29.297,24.902,8.789,-23.438,-6.348,0
1540168590.241,-40.527,30.273,7.812,-33.691,26.367,0
1540168590.245,-65.918,33.691,2.930,-59.570,16.602,0
1540168590.248,-69.336,36.621,0.488,-63.965,-5.371,0
1540168590.252,-63.965,46.387,-7.324,-74.707,31.250,0
1540168590.256,-70.312,53.711,-14.160,-85.938,44.922,0
1540168590.260,-87.402,51.270,-7.812,-81.543,47.852,0
1540168590.264,-87.891,48.828,-8.301,-75.195,13.672,0
1540168590.268,-80.566,49.316,-9.766,-78.613,2.441,0
1540168590.272,-83.008,54.688,-13.184,-87.891,49.805,0
1540168590.276,-82.031,58.594,-22.949,-90.820,54.688,0
1540168590.280,-81.055,47.852,-32.227,-98.633,36.133,0
1540168590.284,-84.961,32.227,-27.344,-98.145,-3.906,0
1540168590.288,-88.867,22.461,-14.160,-99.609,19.043,0
1540168590.291,-94.238,12.207,-12.207,-104.004,56.152,0
1540168590.295,-90.820,9.277,-16.113,-93.750,-1.465,0
1540168590.299,-83.496,9.277,-16.602,-81.055,17.578,0
1540168590.303,-89.844,5.371,-16.113,-94.727,57.129,0
1540168590.307,-96.191,5.859,-19.043,-108.887,68.359,0
1540168590.311,-86.914,0.977,-18.555,-96.191,68.359,0
1540168590.315,-86.914,-1.953,-11.719,-90.820,77.637,0
1540168590.319,-88.379,-2.930,-15.137,-91.797,26.367,0
1540168590.323,-86.914,-1.953,-22.461,-90.332,-13.672,0
1540168590.327,-86.914,-6.836,-25.391,-95.703,60.547,0
1540168590.330,-81.543,-11.230,-28.320,-92.285,67.383,0
1540168590.334,-73.730,-9.277,-26.855,-88.379,29.297,0
1540168590.338,-69.824,-13.184,-23.438,-85.938,9.766,0
1540168590.342,-78.125,-17.578,-21.973,-86.914,7.812,0
1540168590.346,-69.824,-11.719,-24.414,-89.355,48.340,0
1540168590.350,-52.734,-10.742,-24.902,-91.309,68.848,0
1540168590.354,-50.781,-23.438,-22.461,-85.938,46.387,0
1540168590.358,-56.152,-34.668,-18.066,-76.172,54.199,0
1540168590.362,-62.988,-29.785,-13.672,-92.773,19.043,0
1540168590.366,-52.734,-16.602,-14.648,-101.562,-1.953,0
1540168590.370,-47.852,-15.137,-19.043,-93.262,60.059,0
1540168590.373,-42.480,-28.809,-6.836,-69.824,39.551,0
1540168590.377,-41.992,-31.738,2.441,-70.801,24.414,0
1540168590.381,-48.340,-24.414,-3.418,-86.426,48.828,0
1540168590.385,-54.688,-23.438,-4.883,-85.938,4.883,0
1540168590.389,-50.293,-20.508,-6.348,-74.219,27.832,0
1540168590.393,-49.805,-20.996,-4.395,-65.430,1.953,0
1540168590.397,-58.105,-28.320,3.906,-75.195,-2.930,0
1540168590.401,-50.293,-31.250,8.789,-77.148,26.367,0
1540168590.405,-39.062,-30.273,13.672,-67.871,39.551,0
1540168590.409,-41.016,-23.438,11.719,-66.406,39.062,0
1540168590.413,-52.734,-18.555,9.766,-76.172,27.344,0
1540168590.416,-56.641,-13.184,13.184,-79.102,30.273,0
1540168590.420,-40.527,-8.789,16.113,-65.430,11.719,0
1540168590.424,-31.250,-13.184,24.414,-53.223,27.832,0
1540168590.428,-45.898,-16.602,28.320,-64.453,-4.883,0
1540168590.432,-49.316,-20.020,24.902,-62.500,7.324,0
1540168590.436,-44.434,-23.438,26.855,-59.082,54.688,0
1540168590.440,-43.945,-20.996,27.344,-62.012,10.742,0
1540168590.444,-36.133,-18.555,29.297,-49.805,12.695,0
1540168590.448,-36.133,-14.648,36.133,-51.270,8.301,0
1540168590.452,-39.062,-12.207,37.109,-63.477,3.906,0
1540168590.455,-43.457,-8.301,39.062,-56.641,-3.906,0
1540168590.459,-43.457,-4.883,41.504,-39.062,41.016,0
1540168590.463,-31.250,-9.277,39.062,-30.273,100.098,0
1540168590.467,-29.297,-13.672,41.992,-35.156,43.457,0
1540168590.471,-39.062,-11.230,40.527,-43.945,-33.691,0
1540168590.475,-37.598,-6.836,39.062,-45.898,-20.020,0
1540168590.479,-26.855,-5.859,41.504,-30.273,56.152,0
1540168590.483,-32.227,-14.160,46.875,-24.414,60.547,0
1540168590.487,-30.273,-17.090,54.199,-35.645,31.250,0
1540168590.491,-32.715,-5.371,48.340,-43.945,11.719,0
1540168590.495,-36.621,-6.836,45.410,-39.551,12.695,0
1540168590.498,-35.645,-4.395,52.734,-25.879,50.293,0
1540168590.502,-34.180,-0.977,59.570,-28.809,46.875,0
1540168590.506,-23.438,1.953,61.523,-32.715,57.129,0
1540168590.510,-20.508,8.301,58.594,-34.668,53.223,0
1540168590.514,-18.555,5.371,57.129,-28.809,18.066,0
1540168590.518,-6.348,4.395,66.406,-10.742,-0.977,0
1540168590.522,-10.254,10.742,74.707,-13.184,-37.598,0
1540168590.526,-37.109,20.996,72.266,-26.367,4.883,0
1540168590.530,-44.434,25.391,71.777,-20.996,17.090,0
1540168590.534,-40.527,21.973,70.801,-28.320,5.859,0
