timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168460.717,23.926,19.043,35.156,21.973,87.402,0
1540168460.721,15.625,25.879,30.762,13.672,21.484,0
1540168460.725,19.043,30.273,36.621,8.789,23.926,0
1540168460.729,21.973,26.855,35.645,20.996,47.363,0
1540168460.733,23.438,20.996,29.785,33.691,-41.504,0
1540168460.737,38.086,21.484,32.227,33.203,8.301,0
1540168460.741,38.086,23.926,32.715,30.273,27.344,0
1540168460.745,29.297,23.926,32.227,38.086,-17.090,0
1540168460.748,34.668,18.066,34.668,47.363,13.184,0
1540168460.752,42.480,18.066,31.250,44.434,30.762,0
1540168460.756,39.551,16.602,28.809,41.992,-21.973,0
1540168460.760,37.109,17.578,35.645,41.504,-42.969,0
1540168460.764,29.297,28.809,36.133,34.180,3.906,0
1540168460.768,15.137,26.855,35.156,17.578,32.715,0
1540168460.772,14.648,32.227,37.109,14.648,49.316,0
1540168460.776,14.160,38.086,35.645,12.207,10.742,0
1540168460.780,14.160,29.785,28.320,14.648,-20.020,0
1540168460.784,21.973,25.391,19.531,33.691,12.695,0
1540168460.788,18.066,17.578,20.020,31.738,30.762,0
1540168460.791,9.766,-3.418,33.691,9.277,20.020,0
1540168460.795,8.789,3.418,46.387,4.395,0.977,0
1540168460.799,18.066,35.645,41.016,16.113,41.016,0
1540168460.803,20.996,21.484,30.273,19.531,52.246,0
1540168460.807,20.996,8.789,32.227,19.043,9.277,0
1540168460.811,27.344,22.949,34.180,19.043,90.332,0
1540168460.815,34.180,14.160,31.738,20.508,100.098,0
1540168460.819,33.203,-8.789,27.344,31.738,27.344,0
1540168460.823,38.086,20.996,27.344,28.809,62.012,0
1540168460.827,43.457,53.711,34.668,21.973,98.145,0
1540168460.830,37.109,36.621,38.574,34.668,70.312,0
1540168460.834,29.785,30.273,34.180,41.504,6.348,0
1540168460.838,21.973,25.391,30.273,32.227,-11.719,0
1540168460.842,20.020,25.879,39.062,30.273,21.484,0
1540168460.846,20.508,28.809,34.668,24.414,41.992,0
1540168460.850,32.715,8.789,29.297,23.438,21.484,0
1540168460.854,43.457,-7.812,36.621,29.785,-7.812,0
1540168460.858,35.156,17.090,37.109,20.020,-9.277,0
1540168460.862,29.297,40.527,29.785,20.508,41.992,0
1540168460.866,35.645,30.273,31.738,31.738,69.336,0
1540168460.870,36.133,24.414,33.691,41.016,5.859,0
1540168460.873,32.227,34.180,30.762,34.180,6.836,2
1540168460.877,39.062,47.363,29.785,21.973,84.961,0
1540168460.881,36.133,42.480,25.391,24.414,95.703,0
1540168460.885,25.879,30.762,27.832,26.367,49.805,0
1540168460.889,32.227,24.414,31.250,13.184,19.531,0
1540168460.893,38.574,20.508,33.203,24.414,11.719,0
1540168460.897,37.598,20.508,36.621,44.434,-13.184,0
1540168460.901,38.574,21.484,31.250,38.574,12.695,0
1540168460.905,43.457,24.414,24.902,29.297,67.383,0
1540168460.909,45.898,20.508,21.484,22.461,76.660,0
1540168460.913,40.527,23.926,28.809,28.320,35.156,0
1540168460.916,34.668,29.785,33.203,20.996,-5.371,0
1540168460.920,35.156,25.391,35.156,20.020,24.414,0
1540168460.924,44.434,23.926,37.109,43.945,49.316,0
1540168460.928,39.062,26.367,35.156,30.762,38.086,0
1540168460.932,34.180,25.879,38.086,13.672,33.203,0
1540168460.936,36.621,20.508,35.156,24.902,31.738,0
1540168460.940,32.227,18.066,31.738,31.250,17.090,0
1540168460.944,22.461,20.020,32.715,36.133,50.781,0
1540168460.948,19.043,22.461,35.156,33.203,70.312,0
1540168460.952,27.344,21.484,36.133,34.180,42.969,0
1540168460.955,25.879,19.043,30.273,38.086,68.848,0
1540168460.959,18.555,21.484,28.809,24.902,73.242,0
1540168460.963,12.695,20.996,26.367,24.902,25.391,0
1540168460.967,18.555,21.973,25.391,35.156,11.230,0
1540168460.971,19.531,21.973,27.832,35.156,-26.367,0
1540168460.975,24.414,21.973,27.832,32.715,-47.852,0
1540168460.979,28.809,18.066,29.297,29.297,41.992,0
1540168460.983,21.484,13.184,33.691,26.367,42.969,0
1540168460.987,20.996,22.461,39.551,36.133,10.254,0
1540168460.991,24.414,10.742,33.691,31.738,8.301,0
1540168460.995,23.926,-1.953,24.414,24.902,11.719,0
1540168460.998,22.461,22.949,27.344,30.762,42.969,0
1540168461.002,25.879,35.645,37.598,31.250,21.973,0
1540168461.006,29.785,26.367,37.109,27.344,34.180,0
1540168461.010,25.391,28.809,35.645,30.762,53.711,0
1540168461.014,26.367,30.762,39.551,29.297,25.391,0
1540168461.018,35.156,22.461,23.438,23.926,16.113,0
1540168461.022,40.527,12.695,12.695,22.949,46.387,0
1540168461.026,40.527,10.742,20.020,18.066,41.992,0
1540168461.030,45.410,31.250,25.879,22.949,32.227,0
1540168461.034,46.875,36.621,27.344,25.879,40.039,0
1540168461.038,50.293,27.344,35.645,20.508,17.578,0
1540168461.041,51.270,28.320,41.504,16.113,-38.086,0
1540168461.045,43.457,24.414,37.109,23.438,21.484,0
1540168461.049,46.387,5.371,30.273,30.273,86.426,0
1540168461.053,36.621,11.230,29.785,28.320,29.785,0
1540168461.057,28.320,41.016,26.855,32.227,8.301,0
1540168461.061,27.832,47.852,24.414,28.809,-22.949,0
1540168461.065,8.789,38.086,32.715,15.625,51.270,0
1540168461.069,-0.977,30.762,39.062,5.859,96.191,0
1540168461.073,12.207,18.066,39.062,21.484,22.949,0
1540168461.077,25.879,22.949,36.133,27.344,-6.836,0
1540168461.080,17.090,32.715,32.227,16.602,-39.551,0
1540168461.084,5.371,7.812,27.832,19.043,2.930,0
1540168461.088,15.625,1.465,26.367,24.414,-3.906,0
