timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168289.811,72.266,-23.926,25.391,61.523,43.945,0
1540168289.815,71.777,-25.391,20.996,74.707,2.441,0
1540168289.819,87.891,-19.531,40.527,73.242,-1.465,0
1540168289.823,96.680,-21.484,35.645,87.402,54.199,0
1540168289.827,86.914,-27.344,20.020,84.961,27.344,0
1540168289.830,72.266,-24.902,4.395,58.594,-8.301,0
1540168289.834,74.219,-16.113,10.254,68.848,-36.621,0
1540168289.838,82.031,-21.484,49.805,72.754,2.441,0
1540168289.842,75.684,-34.180,55.176,59.570,21.484,0
1540168289.846,65.430,-10.254,49.316,69.824,-23.438,0
1540168289.850,70.312,-2.441,28.809,69.824,3.906,0
1540168289.854,77.637,-21.973,30.762,61.523,75.195,0
1540168289.858,62.012,-29.297,59.082,52.246,96.191,0
1540168289.862,61.523,-18.555,49.316,38.574,55.664,0
1540168289.866,64.453,-23.438,35.645,33.691,54.199,0
1540168289.870,43.945,-46.387,24.414,28.320,80.566,0
1540168289.873,63.965,-43.945,14.160,39.062,67.383,0
1540168289.877,67.871,-25.879,13.672,58.594,4.883,0
1540168289.881,51.758,-21.973,14.648,63.965,-13.672,0
1540168289.885,62.988,-5.371,20.020,59.082,6.348,0
1540168289.889,58.105,6.348,32.715,44.922,-6.348,0
1540168289.893,48.828,-4.883,24.414,47.363,12.695,0
1540168289.897,51.758,-23.926,-6.348,61.035,75.195,0
1540168289.901,49.316,-33.691,20.508,51.270,37.598,0
1540168289.905,58.594,-13.184,62.988,46.875,13.184,0
1540168289.909,57.617,-8.789,44.434,49.316,40.527,0
1540168289.913,37.109,-25.391,27.832,34.180,6.836,0
1540168289.916,27.344,-16.113,31.738,45.898,-12.695,0
1540168289.920,40.527,-1.465,31.250,48.828,33.203,0
1540168289.924,59.570,-8.789,16.113,56.152,39.551,0
1540168289.928,85.938,-11.230,3.906,73.730,48.340,0
1540168289.932,80.566,-8.301,30.273,60.059,41.504,0
1540168289.936,51.270,-20.020,45.898,42.480,34.668,0
1540168289.940,74.707,-18.555,37.109,50.293,86.914,0
