timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168016.284,160.156,18.555,36.621,37.598,20.508,0
1540168016.288,161.621,17.578,34.180,38.086,10.742,0
1540168016.291,166.504,20.020,28.809,37.598,40.527,0
1540168016.295,175.293,26.367,25.391,41.016,48.340,0
1540168016.299,178.711,26.367,27.832,40.039,25.391,0
1540168016.303,181.152,20.996,26.855,36.133,-3.418,0
1540168016.307,178.223,21.484,24.902,40.039,14.160,0
1540168016.311,178.711,22.461,28.809,41.992,19.043,0
1540168016.315,186.035,20.996,25.391,35.645,-68.359,0
1540168016.319,203.613,20.020,22.461,34.668,-16.602,0
1540168016.323,214.355,18.555,26.855,35.645,67.383,0
1540168016.327,215.332,19.531,27.832,41.992,14.160,0
1540168016.330,226.074,21.484,28.320,47.852,74.219,0
1540168016.334,236.816,23.926,27.344,44.434,62.988,0
1540168016.338,236.816,23.926,25.879,43.945,15.137,0
1540168016.342,234.375,24.414,25.879,44.922,47.852,0
1540168016.346,239.258,22.949,20.020,45.410,23.926,0
1540168016.350,241.211,21.484,20.020,44.434,36.621,0
1540168016.354,249.023,22.461,23.438,41.992,26.367,0
1540168016.358,261.719,23.438,22.461,45.898,-40.039,0
1540168016.362,255.859,22.461,20.996,47.852,-17.090,0
1540168016.366,250.488,23.438,20.508,42.969,-18.066,0
1540168016.370,243.164,22.949,22.461,36.133,-6.836,0
1540168016.373,235.840,21.484,26.367,38.574,23.926,0
1540168016.377,240.234,19.043,20.996,42.969,22.949,0
1540168016.381,250.000,22.461,13.672,45.410,7.812,0
1540168016.385,254.395,24.414,18.066,39.062,21.973,0
1540168016.389,253.906,23.926,23.926,31.738,36.133,0
1540168016.393,262.695,22.461,26.367,39.551,-0.977,0
1540168016.397,260.254,22.949,27.344,45.410,-1.953,0
1540168016.401,251.953,28.809,29.785,42.480,22.461,0
1540168016.405,252.441,23.926,26.367,40.527,16.113,0
1540168016.409,250.000,18.066,24.902,41.504,20.020,0
1540168016.413,247.559,22.461,26.367,44.434,-18.555,0
1540168016.416,237.793,25.391,23.926,38.574,15.625,0
1540168016.420,238.770,24.414,24.414,31.738,68.359,0
1540168016.424,241.699,24.902,22.949,35.645,24.414,0
1540168016.428,223.633,23.438,17.578,32.227,22.949,0
1540168016.432,212.402,25.879,20.996,28.809,51.758,0
1540168016.436,221.191,29.297,21.973,28.809,27.832,0
1540168016.440,219.238,28.320,17.578,32.715,15.625,0
1540168016.444,195.312,25.879,23.438,33.203,14.648,0
1540168016.448,182.617,21.484,28.809,19.531,29.785,0
1540168016.452,196.289,15.137,27.832,8.789,21.973,0
1540168016.455,222.656,15.137,28.320,18.066,-5.859,0
1540168016.459,232.910,16.113,33.203,24.414,21.484,0
1540168016.463,233.887,16.113,33.203,24.414,66.406,0
1540168016.467,244.629,15.625,30.762,28.809,74.707,0
1540168016.471,240.723,15.625,29.785,23.926,34.180,0
1540168016.475,235.840,17.578,25.879,20.996,51.270,0
1540168016.479,243.652,19.531,23.438,23.926,57.129,0
1540168016.483,241.211,15.137,22.461,21.973,20.996,0
1540168016.487,235.840,11.719,24.902,20.996,62.988,0
1540168016.491,230.469,14.160,26.855,25.391,-29.297,0
1540168016.495,220.215,16.113,26.855,28.809,-9.277,0
1540168016.498,216.309,15.625,27.344,25.879,7.812,0
1540168016.502,217.285,14.648,29.297,26.855,-12.207,0
1540168016.506,216.797,13.184,26.367,29.785,23.926,0
1540168016.510,216.797,15.137,24.902,30.273,34.668,0
1540168016.514,210.449,19.043,30.273,33.203,103.027,0
1540168016.518,211.914,19.043,32.715,27.832,64.453,0
1540168016.522,217.773,20.020,31.250,28.320,24.414,0
1540168016.526,210.938,18.555,28.320,32.715,53.223,0
1540168016.530,204.102,18.066,30.762,34.180,41.504,0
1540168016.534,211.426,16.602,32.227,34.668,31.738,0
1540168016.538,220.703,16.113,29.297,33.691,23.438,0
1540168016.541,217.285,16.602,29.297,37.109,33.203,0
1540168016.545,217.285,19.531,29.785,37.109,10.254,0
1540168016.549,214.844,22.461,29.297,33.691,0.488,0
1540168016.553,206.055,20.996,28.320,26.855,45.898,0
1540168016.557,202.148,20.996,25.879,27.832,23.926,0
1540168016.561,205.078,20.996,25.879,32.227,-6.836,0
1540168016.565,214.844,22.461,24.902,28.320,-6.348,0
1540168016.569,223.145,25.391,24.902,21.973,31.250,0
1540168016.573,223.633,25.391,26.855,24.902,30.273,0
1540168016.577,222.656,26.855,25.879,28.320,2.441,0
1540168016.580,220.215,29.297,23.438,27.832,59.570,0
1540168016.584,215.820,29.297,20.996,25.391,32.715,0
1540168016.588,214.355,26.855,18.066,20.508,-54.199,0
1540168016.592,207.520,25.879,15.625,21.973,-30.273,0
1540168016.596,216.797,24.902,19.531,29.297,58.594,0
1540168016.600,224.121,23.926,21.484,28.320,22.461,0
1540168016.604,222.168,20.508,19.531,20.996,28.809,0
1540168016.608,220.215,18.555,19.531,17.090,20.508,0
1540168016.612,222.168,20.508,18.555,20.508,-1.953,0
1540168016.616,226.074,21.484,18.066,22.461,38.574,0
1540168016.620,234.863,20.508,19.043,26.855,55.176,0
1540168016.623,255.371,21.484,19.531,34.668,80.078,0
1540168016.627,258.789,22.949,19.043,29.785,69.336,0
1540168016.631,243.652,21.973,19.043,23.926,86.914,0
1540168016.635,243.652,24.902,18.066,23.438,88.867,0
1540168016.639,240.234,26.855,20.508,26.367,63.477,0
1540168016.643,240.723,26.855,22.949,29.785,44.434,0
1540168016.647,252.930,28.320,14.648,22.461,58.594,0
1540168016.651,255.859,26.367,13.672,16.113,35.645,0
1540168016.655,250.977,24.414,19.043,15.625,-25.879,0
1540168016.659,226.562,20.508,22.949,15.137,1.953,0
1540168016.663,217.285,19.043,26.367,16.602,15.625,0
