timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168717.967,47.852,29.297,30.762,44.434,66.406,0
1540168717.971,52.734,25.879,33.203,49.316,53.223,0
1540168717.975,49.316,28.809,30.273,48.340,-40.039,0
1540168717.979,48.828,33.203,30.762,45.898,-10.742,0
1540168717.983,46.387,30.762,31.250,40.039,79.102,0
1540168717.987,44.434,35.645,36.621,41.504,24.414,0
1540168717.991,37.109,39.551,33.203,40.039,-3.906,0
1540168717.995,28.320,37.598,25.879,27.832,23.438,0
1540168717.998,14.648,39.551,20.508,14.160,38.574,0
1540168718.002,13.184,42.480,22.461,13.672,101.074,0
1540168718.006,13.184,47.852,30.273,13.184,83.496,0
1540168718.010,-0.488,49.316,36.133,3.418,11.719,0
1540168718.014,-9.766,43.945,29.785,-7.324,28.320,0
1540168718.018,-15.137,44.922,22.949,-10.254,46.387,0
1540168718.022,-11.719,46.875,16.602,-13.184,20.508,0
1540168718.026,-17.578,48.828,16.602,-20.020,22.461,0
1540168718.030,-27.344,52.734,22.949,-38.574,-43.945,0
1540168718.034,-26.855,53.223,25.391,-37.109,-27.832,0
1540168718.038,-36.621,47.363,25.391,-28.809,28.809,0
1540168718.041,-39.551,47.363,25.879,-30.273,65.918,0
1540168718.045,-24.414,50.293,25.879,-30.762,35.645,0
1540168718.049,-28.320,50.781,21.484,-27.344,-38.086,0
1540168718.053,-26.367,49.805,15.137,-22.949,43.945,0
1540168718.057,-18.066,39.551,19.531,-20.996,48.340,0
1540168718.061,-24.414,32.227,28.320,-24.414,16.602,0
1540168718.065,-24.902,42.969,26.367,-22.949,60.059,0
1540168718.069,-19.531,48.828,25.391,-19.043,63.477,1
1540168718.073,-8.789,40.039,29.297,-11.719,9.277,0
1540168718.077,-2.930,46.875,31.738,-5.371,51.270,0
1540168718.080,-3.418,48.828,31.250,-7.324,78.125,0
1540168718.084,2.441,43.945,31.738,3.418,24.414,0
1540168718.088,7.812,40.527,32.227,7.812,33.203,0
1540168718.092,1.465,36.621,29.297,1.465,41.992,0
1540168718.096,12.207,45.410,29.785,4.883,35.156,0
1540168718.100,17.090,47.363,29.785,12.207,8.789,0
1540168718.104,5.859,45.898,28.320,6.348,16.113,0
1540168718.108,2.930,41.992,30.273,9.277,40.527,0
1540168718.112,2.441,29.297,30.762,13.184,39.062,0
1540168718.116,2.441,30.762,29.297,13.672,45.898,0
1540168718.120,1.465,34.668,27.832,14.160,76.660,0
1540168718.123,7.324,22.461,29.297,11.719,42.969,0
1540168718.127,13.184,19.531,31.738,15.625,-24.902,0
1540168718.131,13.184,28.320,33.203,9.277,18.555,0
1540168718.135,19.043,28.809,34.668,17.090,80.078,0
1540168718.139,25.391,16.602,40.039,32.227,7.812,0
1540168718.143,28.809,17.578,44.434,36.621,9.277,0
1540168718.147,32.227,24.414,38.574,40.527,17.090,0
1540168718.151,40.039,21.484,39.551,49.805,35.156,0
1540168718.155,53.223,17.578,46.875,60.059,17.090,0
1540168718.159,58.105,15.137,45.410,62.012,-35.645,0
1540168718.163,59.082,14.648,40.527,56.641,-38.086,0
1540168718.166,55.664,17.578,39.062,52.246,20.020,0
1540168718.170,55.664,20.508,41.016,62.012,53.711,0
1540168718.174,45.898,18.066,43.457,67.871,21.484,0
1540168718.178,48.340,17.090,36.621,54.688,47.363,0
1540168718.182,57.129,12.695,33.203,53.223,33.203,0
1540168718.186,53.223,-0.488,34.668,66.406,34.180,0
1540168718.190,48.828,1.465,32.227,64.453,19.043,0
1540168718.194,45.898,27.832,33.691,60.547,31.738,0
1540168718.198,53.223,35.645,35.645,60.547,22.949,0
1540168718.202,58.594,23.926,33.203,62.988,-13.672,0
1540168718.205,57.129,21.484,30.273,62.988,53.223,0
1540168718.209,59.082,20.508,36.133,66.406,100.586,0
1540168718.213,69.336,17.090,34.668,62.012,82.031,0
1540168718.217,71.289,18.066,28.809,59.570,95.215,0
1540168718.221,69.336,14.160,33.691,68.848,87.891,0
1540168718.225,60.059,18.066,34.180,63.477,33.691,0
1540168718.229,52.246,20.996,30.762,56.641,30.273,0
1540168718.233,61.035,22.949,30.762,68.848,66.895,0
1540168718.237,62.988,26.367,32.227,81.055,80.078,0
1540168718.241,60.059,21.973,31.250,70.312,66.895,0
1540168718.245,63.477,20.020,29.297,60.059,60.059,0
1540168718.248,62.500,12.695,30.762,65.430,-13.184,0
1540168718.252,63.965,9.277,33.203,71.289,1.953,0
1540168718.256,67.871,25.879,35.645,62.500,19.531,0
1540168718.260,63.965,37.109,31.738,59.570,25.879,0
1540168718.264,56.641,37.109,28.809,57.617,34.668,0
1540168718.268,55.664,34.180,30.762,51.758,24.902,0
1540168718.272,58.594,29.297,32.715,59.570,27.344,0
1540168718.276,56.641,24.414,36.133,49.805,30.273,0
1540168718.280,56.152,19.043,30.273,40.039,44.922,0
1540168718.284,51.758,23.926,28.809,47.852,20.996,0
1540168718.288,46.875,27.832,33.203,41.992,30.762,0
1540168718.291,44.434,18.066,37.109,47.363,35.156,0
1540168718.295,40.039,18.555,40.039,47.852,30.762,0
1540168718.299,45.898,27.344,37.109,41.016,42.480,0
1540168718.303,52.246,30.762,29.297,48.340,17.090,0
1540168718.307,46.387,30.273,27.832,48.828,20.508,0
1540168718.311,47.852,28.320,32.715,48.340,67.871,0
1540168718.315,52.246,26.367,34.180,45.410,42.480,0
1540168718.319,48.828,23.926,35.156,44.922,35.156,0
1540168718.323,47.363,23.438,31.250,41.992,-14.648,0
1540168718.327,45.410,24.414,33.203,42.480,-40.527,0
1540168718.330,49.316,24.902,36.621,44.434,20.508,0
1540168718.334,46.875,23.438,32.227,36.621,21.484,0
1540168718.338,42.969,24.902,32.715,39.551,10.742,0
1540168718.342,38.086,29.297,36.621,43.945,19.531,0
1540168718.346,34.180,23.926,38.086,36.621,63.477,0
1540168718.350,42.480,16.602,35.156,28.809,108.887,0
1540168718.354,50.293,19.531,31.738,39.062,41.016,0
1540168718.358,42.969,30.273,28.320,49.805,-37.598,0
1540168718.362,35.156,34.668,29.297,41.992,-5.371,0
1540168718.366,31.250,41.016,37.109,30.762,28.809,0
1540168718.370,34.668,43.457,40.039,36.621,-11.719,0
1540168718.373,35.156,32.715,37.598,40.527,0.488,0
1540168718.377,34.180,27.832,38.086,36.133,1.465,0
1540168718.381,33.691,25.391,35.645,34.668,-0.488,0
1540168718.385,30.762,25.391,35.645,35.645,-14.160,0
1540168718.389,37.109,29.297,36.621,26.855,6.348,0
1540168718.393,30.762,15.625,33.203,25.391,17.090,0
1540168718.397,30.762,15.137,36.133,35.156,2.930,0
1540168718.401,38.574,32.715,34.180,38.086,-19.531,0
1540168718.405,41.504,34.180,29.785,36.621,-34.668,0
1540168718.409,41.992,31.738,32.715,33.691,42.480,0
1540168718.413,42.969,32.715,33.203,32.227,62.500,0
1540168718.416,46.387,32.715,38.086,39.062,39.062,0
1540168718.420,43.457,32.715,41.504,48.828,34.668,0
