timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168152.233,31.738,6.836,14.648,21.484,63.477,0
1540168152.237,21.973,11.230,16.602,30.273,39.551,0
1540168152.241,32.227,6.348,17.090,32.715,-14.160,0
1540168152.245,48.340,-0.977,9.766,46.875,4.395,0
1540168152.248,45.898,5.859,0.000,52.734,-37.109,0
1540168152.252,32.227,7.812,2.441,37.598,20.020,0
1540168152.256,33.691,11.230,12.207,47.852,75.195,0
1540168152.260,42.969,19.531,17.090,58.105,70.801,0
1540168152.264,52.246,17.090,18.555,61.523,51.758,0
1540168152.268,52.734,13.672,13.672,55.176,36.133,0
1540168152.272,56.152,11.719,17.090,46.387,100.098,0
1540168152.276,68.359,16.113,22.461,56.152,96.191,0
1540168152.280,64.453,20.020,18.555,60.059,41.504,0
1540168152.284,47.363,14.160,19.531,57.617,-38.086,0
1540168152.288,41.016,9.766,18.555,54.688,-8.789,0
1540168152.291,45.410,8.301,5.371,53.223,-34.668,0
1540168152.295,46.387,7.812,2.930,52.246,-51.758,0
1540168152.299,54.688,15.137,21.484,49.805,24.902,0
1540168152.303,61.035,19.531,36.621,60.547,6.348,0
1540168152.307,70.312,19.043,35.645,66.406,-15.137,0
1540168152.311,73.242,26.367,28.809,63.477,41.992,0
1540168152.315,69.336,28.320,20.020,64.941,0.000,0
1540168152.319,64.941,25.391,22.461,59.082,22.461,0
1540168152.323,39.062,25.391,20.508,35.645,70.801,0
1540168152.327,35.156,21.973,16.602,37.109,4.883,0
1540168152.330,50.781,15.137,14.648,39.062,16.602,0
1540168152.334,41.992,18.066,8.789,20.020,22.949,0
1540168152.338,33.691,25.879,2.930,17.578,-30.762,0
1540168152.342,39.062,26.855,-0.977,20.996,-13.672,0
1540168152.346,40.527,21.484,3.418,18.066,-29.297,0
1540168152.350,35.156,18.555,10.254,12.207,-40.039,0
1540168152.354,35.645,19.043,9.766,14.160,62.500,0
1540168152.358,37.598,13.672,12.207,30.762,70.801,0
1540168152.362,36.133,13.184,12.695,28.320,21.484,0
1540168152.366,41.016,16.113,10.742,25.879,40.039,0
1540168152.370,39.551,6.348,2.441,39.551,22.461,0
1540168152.373,21.973,-0.977,4.883,25.879,53.711,0
1540168152.377,20.996,8.301,27.344,17.578,24.902,0
1540168152.381,23.438,15.137,24.414,16.113,-18.555,0
1540168152.385,11.719,20.508,13.672,19.531,-5.371,0
1540168152.389,8.789,22.949,8.301,22.461,-2.930,0
1540168152.393,32.227,28.320,9.277,29.785,-7.324,0
1540168152.397,45.898,21.484,9.766,26.855,12.695,0
1540168152.401,37.598,13.184,9.277,20.996,40.527,0
1540168152.405,21.973,4.883,11.719,23.926,32.715,0
1540168152.409,21.973,-4.883,9.277,26.367,39.062,0
1540168152.413,36.621,10.254,0.488,35.645,38.086,0
1540168152.416,34.180,20.508,0.488,35.156,43.457,0
1540168152.420,21.973,26.367,18.066,36.621,65.918,0
1540168152.424,21.973,25.879,9.766,41.992,71.289,0
1540168152.428,31.250,18.066,9.766,31.250,74.707,0
1540168152.432,35.156,23.926,34.668,18.555,71.777,0
1540168152.436,29.785,25.391,26.367,14.648,30.273,0
1540168152.440,30.762,24.902,17.090,27.832,-19.531,0
1540168152.444,32.227,27.832,19.043,31.738,6.836,0
1540168152.448,43.457,-4.883,8.789,39.551,29.785,0
1540168152.452,40.039,-16.113,-1.465,47.363,17.578,0
1540168152.455,16.602,19.043,13.184,30.273,24.414,0
1540168152.459,15.625,26.367,20.508,27.344,-6.836,0
1540168152.463,30.273,29.785,9.277,29.297,2.441,1
1540168152.467,38.086,27.832,17.090,30.762,11.230,0
1540168152.471,34.180,9.277,20.996,31.738,-14.160,0
1540168152.475,33.691,7.324,9.277,24.414,59.082,0
1540168152.479,46.875,24.414,6.348,25.391,39.062,0
1540168152.483,56.641,25.391,0.000,11.230,-3.418,0
1540168152.487,48.828,22.949,9.277,2.441,-16.602,0
1540168152.491,41.504,24.902,19.531,7.812,53.223,0
1540168152.495,42.969,27.832,16.602,8.789,91.309,0
1540168152.498,54.199,26.855,12.695,20.508,21.484,0
1540168152.502,50.781,24.902,10.742,20.996,55.664,0
